global_idx|puzzle|status|n_steps|empty_remaining|wrong_placements|technique_counts
24383|987600500400080000000000000300002000006500100002960700009006071000100095000090600|SOLVED_CLEAN|56|0|0|{'DeepResonance': 5, 'FPF': 1, 'crossHatch': 35, 'LZWing': 4, 'SimpleColoring': 1, 'lastRemaining': 6, 'nakedSingle': 13, 'fullHouse': 1}
24384|980700600750000080006080000040007003009800070007430050005600090000040000000002001|SOLVED_CLEAN|56|0|0|{'DeepResonance': 5, 'ALS_XYWing': 1, 'FPCE': 1, 'nakedSingle': 7, 'crossHatch': 19, 'lastRemaining': 19, 'fullHouse': 10}
24385|980700600750000080006000000809400050040000008000030400008600070005900062000020001|SOLVED_CLEAN|56|0|0|{'DeepResonance': 1, 'D2B': 1, 'FPCE': 2, 'nakedSingle': 11, 'crossHatch': 20, 'lastRemaining': 16, 'fullHouse': 6}
24386|980700600504600300000040020700900100001070008000001000300097000050006700000500003|SOLVED_CLEAN|56|0|0|{'DeepResonance': 2, 'D2B': 1, 'KrakenFish': 1, 'crossHatch': 38, 'FPCE': 1, 'nakedSingle': 10, 'lastRemaining': 6}
24387|980760500700000090005000600450000000008490050000003400020005003007830060000000100|SOLVED_CLEAN|56|0|0|{'DeepResonance': 7, 'nakedSingle': 8, 'FPCE': 1, 'crossHatch': 29, 'lastRemaining': 14, 'fullHouse': 4}
24388|980700600500900700004030000600059080000800006000007900200500860010090002000002000|SOLVED_CLEAN|56|0|0|{'DeepResonance': 4, 'ALS_XYWing': 4, 'FPC': 5, 'crossHatch': 34, 'ALS_XZ': 3, 'nakedSingle': 11, 'SimpleColoring': 2, 'KrakenFish': 1, 'XWing': 1, 'LZWing': 4, 'lastRemaining': 5, 'fullHouse': 1}
24389|980760500500400600000005090600007800030840000000600040400070900090000005002000010|SOLVED_CLEAN|56|0|0|{'DeepResonance': 4, 'D2B': 1, 'FPCE': 1, 'nakedSingle': 4, 'crossHatch': 38, 'lastRemaining': 12}
24390|980700600500090070007004000300080200008900050000043006020006001005400060000010000|SOLVED_CLEAN|56|0|0|{'DeepResonance': 2, 'FPCE': 1, 'nakedSingle': 14, 'crossHatch': 34, 'lastRemaining': 6, 'fullHouse': 1}
24391|000001002000020030002000450005040003060007000800900000008010005070608200900000080|SOLVED_CLEAN|58|0|0|{'DeepResonance': 3, 'FPF': 1, 'KrakenFish': 2, 'FPCE': 1, 'nakedSingle': 13, 'crossHatch': 30, 'ALS_XZ': 8, 'XCycle': 1, 'lastRemaining': 12, 'LZWing': 1, 'fullHouse': 1}
24392|000000001002003040050460700000700006030010800200000050020004090409080000500600000|SOLVED_CLEAN|58|0|0|{'DeepResonance': 4, 'D2B': 1, 'crossHatch': 28, 'lastRemaining': 9, 'FPCE': 1, 'nakedSingle': 18, 'fullHouse': 1}
24393|000000001001002030040150600003000070060080500700000002006090000090504000500008900|SOLVED_CLEAN|58|0|0|{'DeepResonance': 2, 'FPCE': 1, 'crossHatch': 37, 'lastRemaining': 14, 'nakedSingle': 6}
24394|980760500704900600050004000500009700070000030008270000400090200000400001000006050|SOLVED_CLEAN|55|0|0|{'DeepResonance': 5, 'D2B': 1, 'KrakenFish': 1, 'ALS_XZ': 1, 'FPC': 1, 'FPCE': 1, 'nakedSingle': 21, 'lastRemaining': 13, 'crossHatch': 12, 'fullHouse': 6}
24395|980760500500400700000003080700000060050000900049600007400200600092040000000010002|SOLVED_CLEAN|55|0|0|{'D2B': 2, 'DeepResonance': 4, 'FPC': 4, 'ALS_XYWing': 4, 'ALS_XZ': 2, 'XWing': 1, 'SimpleColoring': 3, 'nakedSingle': 3, 'Swordfish': 1, 'KrakenFish': 1, 'crossHatch': 35, 'lastRemaining': 9, 'fullHouse': 2}
24396|980700600750000090004050007800300070000020400000005001300080000090500060000001002|SOLVED_CLEAN|57|0|0|{'DeepResonance': 4, 'crossHatch': 43, 'KrakenFish': 1, 'FPCE': 1, 'nakedSingle': 7, 'lastRemaining': 6}
24397|980700600500090070007006000430000020005060900000004000008050700000100003000002010|SOLVED_CLEAN|58|0|0|{'DeepResonance': 6, 'D2B': 1, 'FPCE': 1, 'nakedSingle': 18, 'crossHatch': 32, 'LZWing': 1, 'lastRemaining': 6, 'XWing': 2, 'SimpleColoring': 2}
24398|980700000600090500004006090300007040040200700000000001060004080003070200000100005|SOLVED_CLEAN|57|0|0|{'DeepResonance': 2, 'D2B': 1, 'FPCE': 1, 'crossHatch': 21, 'FPC': 1, 'nakedSingle': 24, 'lastRemaining': 8, 'ALS_XZ': 5, 'LZWing': 1, 'ALS_XYWing': 3, 'fullHouse': 1, 'SimpleColoring': 1}
24399|980700600700050000004009070400000300070004080002100004200008090000300006000010500|SOLVED_CLEAN|57|0|0|{'DeepResonance': 1, 'D2B': 1, 'FPC': 1, 'ALS_XYWing': 1, 'FPCE': 1, 'nakedSingle': 14, 'crossHatch': 32, 'lastRemaining': 7, 'fullHouse': 1}
24400|980700600500090040003000009400005000060800200000070003010002070000100006000087100|SOLVED_CLEAN|57|0|0|{'DeepResonance': 4, 'KrakenFish': 1, 'FPCE': 1, 'nakedSingle': 16, 'crossHatch': 29, 'lastRemaining': 10, 'LZWing': 1, 'ALS_XZ': 2, 'ALS_XYWing': 6, 'SimpleColoring': 1, 'fullHouse': 1}
24401|980700600700080000054000000300090700070002050005600001030060900000001002000000040|SOLVED_CLEAN|58|0|0|{'DeepResonance': 2, 'crossHatch': 23, 'lastRemaining': 14, 'nakedSingle': 14, 'LZWing': 3, 'ALS_XZ': 1, 'XCycle': 1, 'fullHouse': 6}
24402|980700000600500000004090800300060900040000020000007001090030400003002050000100003|SOLVED_CLEAN|58|0|0|{'DeepResonance': 4, 'FPC': 1, 'FPCE': 1, 'nakedSingle': 6, 'crossHatch': 37, 'lastRemaining': 12, 'fullHouse': 1}
24403|980700600500090070007006000430900000005060900000002040008050700000100002000003010|SOLVED_CLEAN|57|0|0|{'DeepResonance': 2, 'D2B': 1, 'FPCE': 1, 'lastRemaining': 7, 'KrakenFish': 3, 'ALS_XZ': 3, 'FPC': 1, 'nakedSingle': 20, 'ALS_XYWing': 1, 'SimpleColoring': 1, 'crossHatch': 26, 'fullHouse': 1}
24404|980760500500400600000000030700600900002040000000080001600074005009500000000006400|SOLVED_CLEAN|57|0|0|{'DeepResonance': 2, 'FPF': 1, 'FPC': 2, 'FPCE': 1, 'nakedSingle': 3, 'crossHatch': 26, 'lastRemaining': 19, 'fullHouse': 5}
24405|980700600750000080006000000400000003030020000005900070070040108008500090000001002|SOLVED_CLEAN|57|0|0|{'DeepResonance': 3, 'ALS_XZ': 10, 'FPC': 1, 'nakedSingle': 18, 'SimpleColoring': 2, 'crossHatch': 28, 'LZWing': 1, 'lastRemaining': 8, 'XCycle': 1, 'fullHouse': 1}
24406|980760000750000600006000000800004030030020001009300500008900700000010020000003004|SOLVED_CLEAN|57|0|0|{'DeepResonance': 2, 'FPC': 1, 'crossHatch': 34, 'XWing': 1, 'LZWing': 4, 'ALS_XYWing': 1, 'nakedSingle': 14, 'ALS_XZ': 6, 'SimpleColoring': 1, 'lastRemaining': 6, 'fullHouse': 2}
24407|980700600500090070007004000300006002090020000008400050010000300009500080000001000|SOLVED_CLEAN|58|0|0|{'DeepResonance': 2, 'FPCE': 1, 'nakedSingle': 15, 'crossHatch': 20, 'lastRemaining': 14, 'XCycle': 1, 'ALS_XZ': 1, 'fullHouse': 7}
24408|980700600700500000004080070400090080093000002000100006040070030009005000000002001|SOLVED_CLEAN|57|0|0|{'DeepResonance': 4, 'D2B': 1, 'FPCE': 1, 'ALS_XYWing': 1, 'FPC': 1, 'crossHatch': 26, 'nakedSingle': 19, 'SimpleColoring': 2, 'lastRemaining': 6, 'fullHouse': 3}
24409|980700600700050000004008070300007040040020700000500100090003080003000200000100006|SOLVED_CLEAN|57|0|0|{'DeepResonance': 2, 'D2B': 1, 'crossHatch': 30, 'FPC': 4, 'ALS_XZ': 4, 'ALS_XYWing': 2, 'lastRemaining': 1, 'SimpleColoring': 3, 'nakedSingle': 21, 'XWing': 1, 'LZWing': 1}
24410|980700600504000000000030000600200083020080090000007200090800300000051000000000014|SOLVED_CLEAN|58|0|0|{'DeepResonance': 3, 'D2B': 1, 'crossHatch': 32, 'FPCE': 1, 'ALS_XZ': 1, 'AlignedPairExcl': 1, 'KrakenFish': 1, 'nakedSingle': 9, 'lastRemaining': 12, 'fullHouse': 3}
24411|980760000750040000006009700500006800000400030000020001090004500000100004000030020|SOLVED_CLEAN|57|0|0|{'DeepResonance': 3, 'D2B': 1, 'ALS_XZ': 5, 'FPC': 3, 'nakedSingle': 11, 'crossHatch': 30, 'lastRemaining': 8, 'fullHouse': 4}
24412|980760000750004000003800700500900300000020040000000001300080010090500800000006002|SOLVED_CLEAN|57|0|0|{'DeepResonance': 2, 'D2B': 1, 'FPC': 1, 'nakedSingle': 17, 'crossHatch': 21, 'ALS_XZ': 6, 'ALS_XYWing': 3, 'XCycle': 1, 'SimpleColoring': 1, 'LZWing': 1, 'lastRemaining': 10, 'fullHouse': 6}
24413|980700000600900500004060090400090030060002100003000005040080060000100000000000207|SOLVED_CLEAN|58|0|0|{'DeepResonance': 2, 'FPF': 1, 'ALS_XZ': 1, 'FPCE': 1, 'crossHatch': 25, 'lastRemaining': 15, 'nakedSingle': 11, 'fullHouse': 5}
